"Carimbo de data/hora","Primeiramente, me identifico politicamente como:","O aborto deve ser legal","O governo deve tomar medidas para reduzir a desigualdade de renda.","Todos os imigrantes em situação irregular devem ser enviados de volta ao seu país de origem.","O orçamento federal destinado a programas sociais (como Bolsa Família e afins) deve ser aumentado.","Casais lésbicos, gays e trans devem ter o direito de se casar legalmente.","O governo deve regulamentar as empresas para proteger o meio ambiente.","O governo federal deve tornar mais fácil a compra de armas de fogo.","O governo deve fazer um esforço concentrado para melhorar as condições sociais e econômicas da população negra no Brasil.","Alguma sugestão ou comentário ?"
"2025/09/25 2:41:55 AM GMT-3","Nenhuma das anteriores","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente",""
"2025/09/25 3:22:55 AM GMT-3","Direita","Discordo Fortemente","Discordo Levemente","Concordo Levemente","Discordo Fortemente","Neutro","Concordo Levemente","Concordo Levemente","Discordo Levemente",""
"2025/09/25 6:25:57 AM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Neutro","Concordo Fortemente","Neutro","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:40:51 AM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:43:25 AM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:43:30 AM GMT-3","Direita","Discordo Fortemente","Concordo Fortemente","Neutro","Discordo Fortemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente",""
"2025/09/25 6:49:40 AM GMT-3","Centro","Neutro","Discordo Levemente","Concordo Fortemente","Discordo Fortemente","Neutro","Concordo Levemente","Neutro","Discordo Levemente",""
"2025/09/25 6:56:43 AM GMT-3","Nenhuma das anteriores","Concordo Levemente","Discordo Levemente","Concordo Levemente","Discordo Fortemente","Neutro","Concordo Levemente","Concordo Fortemente","Discordo Levemente",""
"2025/09/25 7:11:36 AM GMT-3","Direita","Discordo Fortemente","Concordo Fortemente","Discordo Levemente","Discordo Fortemente","Discordo Fortemente","Discordo Fortemente","Concordo Levemente","Discordo Fortemente",""
"2025/09/25 7:15:42 AM GMT-3","Direita","Discordo Fortemente","Concordo Levemente","Discordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Levemente",""
"2025/09/25 7:17:58 AM GMT-3","Nenhuma das anteriores","Discordo Fortemente","Concordo Levemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente","Discordo Fortemente",""
"2025/09/25 7:31:44 AM GMT-3","Nenhuma das anteriores","Concordo Levemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente",""
"2025/09/25 7:37:37 AM GMT-3","Nenhuma das anteriores","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente",""
"2025/09/25 7:49:47 AM GMT-3","Nenhuma das anteriores","Discordo Levemente","Concordo Fortemente","Discordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 7:57:07 AM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 7:58:55 AM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 8:04:45 AM GMT-3","Nenhuma das anteriores","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 8:20:01 AM GMT-3","Esquerda","Discordo Fortemente","Concordo Fortemente","Neutro","Discordo Levemente","Neutro","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 8:27:56 AM GMT-3","Esquerda","Discordo Fortemente","Concordo Fortemente","Discordo Levemente","Discordo Levemente","Discordo Levemente","Concordo Fortemente","Discordo Fortemente","Neutro",""
"2025/09/25 8:38:46 AM GMT-3","Nenhuma das anteriores","Neutro","Concordo Fortemente","Concordo Levemente","Neutro","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 8:42:47 AM GMT-3","Centro","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Neutro","Concordo Fortemente","Concordo Levemente","Discordo Fortemente","Discordo Fortemente",""
"2025/09/25 8:48:10 AM GMT-3","Direita","Discordo Fortemente","Discordo Fortemente","Discordo Levemente","Discordo Fortemente","Discordo Fortemente","Discordo Levemente","Concordo Fortemente","Discordo Fortemente",""
"2025/09/25 9:32:26 AM GMT-3","Nenhuma das anteriores","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 9:47:39 AM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 10:48:01 AM GMT-3","Centro","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 11:12:01 AM GMT-3","Esquerda","Concordo Levemente","Concordo Levemente","Discordo Fortemente","Neutro","Concordo Fortemente","Concordo Levemente","Discordo Fortemente","Concordo Levemente",""
"2025/09/25 11:50:42 AM GMT-3","Direita","Concordo Fortemente","Neutro","Concordo Levemente","Neutro","Concordo Fortemente","Concordo Fortemente","Neutro","Neutro",""
"2025/09/25 1:29:09 PM GMT-3","Direita","Discordo Fortemente","Discordo Fortemente","Concordo Levemente","Discordo Fortemente","Discordo Fortemente","Discordo Fortemente","Concordo Levemente","Discordo Fortemente",""
"2025/09/25 3:09:37 PM GMT-3","Esquerda","Concordo Levemente","Concordo Levemente","Discordo Levemente","Discordo Levemente","Concordo Levemente","Concordo Levemente","Discordo Levemente","Concordo Levemente","A pergunta ""Primeiramente, me identifico politicamente como:"" tem poucas opções
"
"2025/09/25 3:40:29 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 3:42:21 PM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Neutro","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 3:44:16 PM GMT-3","Nenhuma das anteriores","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Neutro","Concordo Fortemente",""
"2025/09/25 3:45:24 PM GMT-3","Direita","Discordo Levemente","Concordo Fortemente","Discordo Levemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Levemente","Neutro",""
"2025/09/25 3:51:31 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","A sociedade detém uma dívida GIGANTESTCA com a sociedade  negra devido aos anos de escravidão, além de violações dos direitos humanos da comunidade LGBTQIAPN+"
"2025/09/25 3:54:37 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 3:56:40 PM GMT-3","Direita","Concordo Levemente","Neutro","Discordo Levemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Neutro","Concordo Levemente",""
"2025/09/25 3:56:49 PM GMT-3","Direita","Concordo Levemente","Concordo Levemente","Concordo Levemente","Discordo Fortemente","Neutro","Concordo Fortemente","Discordo Levemente","Concordo Levemente",""
"2025/09/25 3:58:14 PM GMT-3","Centro","Concordo Levemente","Concordo Levemente","Neutro","Discordo Levemente","Concordo Fortemente","Concordo Levemente","Discordo Fortemente","Discordo Levemente",""
"2025/09/25 4:00:01 PM GMT-3","Direita","Discordo Levemente","Discordo Levemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Discordo Fortemente",""
"2025/09/25 4:00:51 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 4:00:56 PM GMT-3","Direita","Discordo Fortemente","Neutro","Discordo Levemente","Discordo Fortemente","Concordo Levemente","Concordo Levemente","Discordo Fortemente","Discordo Fortemente",""
"2025/09/25 4:01:48 PM GMT-3","Nenhuma das anteriores","Discordo Fortemente","Concordo Fortemente","Neutro","Neutro","Concordo Fortemente","Concordo Fortemente","Neutro","Neutro",""
"2025/09/25 4:02:44 PM GMT-3","Direita","Neutro","Discordo Fortemente","Neutro","Discordo Fortemente","Neutro","Discordo Fortemente","Neutro","Discordo Levemente",""
"2025/09/25 4:02:50 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 4:02:58 PM GMT-3","Nenhuma das anteriores","Concordo Fortemente","Concordo Levemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 4:05:08 PM GMT-3","Direita","Concordo Levemente","Concordo Fortemente","Discordo Fortemente","Discordo Fortemente","Concordo Fortemente","Neutro","Discordo Levemente","Concordo Fortemente",""
"2025/09/25 4:06:51 PM GMT-3","Direita","Discordo Fortemente","Discordo Fortemente","Discordo Levemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Com os excessivos planos sociais, a cadeia produtiva no país está comprometida, não tem mão de obra disponível, os programas sociais estão formando uma classe preguiçosa, dependente e viciada em jogos de azar virtual. "
"2025/09/25 4:06:55 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Neutro","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 4:07:35 PM GMT-3","Esquerda","Discordo Levemente","Concordo Fortemente","Concordo Levemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 4:10:03 PM GMT-3","Nenhuma das anteriores","Discordo Fortemente","Discordo Levemente","Concordo Fortemente","Discordo Fortemente","Discordo Fortemente","Concordo Levemente","Concordo Fortemente","Discordo Fortemente",""
"2025/09/25 4:11:31 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Neutro","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 4:16:36 PM GMT-3","Nenhuma das anteriores","Concordo Levemente","Concordo Fortemente","Neutro","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente",""
"2025/09/25 4:16:54 PM GMT-3","Direita","Discordo Levemente","Neutro","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","Concordo Levemente","Concordo Levemente","Discordo Levemente",""
"2025/09/25 4:21:31 PM GMT-3","Nenhuma das anteriores","Neutro","Concordo Fortemente","Discordo Levemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 4:33:08 PM GMT-3","Centro","Concordo Fortemente","Concordo Levemente","Neutro","Neutro","Concordo Fortemente","Concordo Levemente","Discordo Fortemente","Neutro",""
"2025/09/25 4:34:18 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 4:35:15 PM GMT-3","Nenhuma das anteriores","Neutro","Concordo Fortemente","Neutro","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Discordo Fortemente",""
"2025/09/25 4:39:26 PM GMT-3","Nenhuma das anteriores","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Revolução! "
"2025/09/25 4:46:23 PM GMT-3","Esquerda","Discordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente","Concordo Levemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","O Brasil carece de educação básica de qualidade, somos uma sociedade que está a passos lentos nesse quesito. Acho importante uma questão sobre o nível educacional, “fundamental completo, médio completo ou superior completo” e se fez o ensino básico foi feito em “pública ou privada”.Isso mapeará a desigualdade social e evidenciará o pensamento político."
"2025/09/25 4:47:41 PM GMT-3","Direita","Discordo Levemente","Concordo Levemente","Neutro","Discordo Levemente","Neutro","Concordo Fortemente","Concordo Levemente","Concordo Levemente",""
"2025/09/25 4:47:59 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente",""
"2025/09/25 4:55:40 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Neutro","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:02:03 PM GMT-3","Direita","Discordo Levemente","Concordo Fortemente","Discordo Fortemente","Neutro","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente",""
"2025/09/25 5:02:39 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:06:10 PM GMT-3","Direita","Discordo Fortemente","Discordo Fortemente","Discordo Levemente","Discordo Fortemente","Concordo Fortemente","Neutro","Concordo Levemente","Discordo Levemente",""
"2025/09/25 5:10:16 PM GMT-3","Direita","Concordo Levemente","Discordo Levemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Levemente","Discordo Levemente",""
"2025/09/25 5:10:43 PM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:12:59 PM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente",""
"2025/09/25 5:14:31 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:15:12 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:18:32 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente","Pauta da 6x1 e transporte público gratuito a todos."
"2025/09/25 5:18:56 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Neutro","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:19:18 PM GMT-3","Direita","Discordo Fortemente","Concordo Levemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","Neutro","Neutro","Discordo Levemente",""
"2025/09/25 5:22:01 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:25:10 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Neutro","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Sem anistia"
"2025/09/25 5:25:20 PM GMT-3","Centro","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:28:11 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:29:09 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente",""
"2025/09/25 5:33:35 PM GMT-3","Direita","Concordo Levemente","Concordo Levemente","Concordo Fortemente","Neutro","Concordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Levemente",""
"2025/09/25 5:41:30 PM GMT-3","Direita","Discordo Fortemente","Neutro","Discordo Levemente","Neutro","Concordo Fortemente","Concordo Levemente","Discordo Levemente","Neutro",""
"2025/09/25 5:48:30 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:50:16 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Neutro","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:51:58 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 5:55:32 PM GMT-3","Direita","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Levemente","Concordo Levemente","Discordo Levemente",""
"2025/09/25 5:57:32 PM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Discordo Levemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente",""
"2025/09/25 6:07:13 PM GMT-3","Esquerda","Neutro","Concordo Fortemente","Neutro","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:08:52 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:09:44 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:14:05 PM GMT-3","Centro","Discordo Levemente","Concordo Fortemente","Concordo Levemente","Discordo Levemente","Concordo Fortemente","Concordo Levemente","Discordo Levemente","Concordo Fortemente",""
"2025/09/25 6:16:05 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:16:20 PM GMT-3","Direita","Discordo Fortemente","Neutro","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Levemente","Concordo Fortemente","Discordo Fortemente",""
"2025/09/25 6:20:58 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:24:30 PM GMT-3","Nenhuma das anteriores","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:31:08 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Concordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente",""
"2025/09/25 6:33:46 PM GMT-3","Direita","Discordo Levemente","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente","Redução de impostos, reforma da educação, reforma penal, redução de privilégios políticos e de funcionários públicos......"
"2025/09/25 6:35:21 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Neutro","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:47:07 PM GMT-3","Direita","Concordo Levemente","Concordo Levemente","Discordo Fortemente","Concordo Levemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:50:34 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:52:40 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:54:25 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 7:05:35 PM GMT-3","Nenhuma das anteriores","Concordo Fortemente","Concordo Levemente","Discordo Levemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente",""
"2025/09/25 7:12:43 PM GMT-3","Nenhuma das anteriores","Concordo Levemente","Concordo Levemente","Neutro","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Neutro","Concordo Fortemente",""
"2025/09/25 7:31:58 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente",""
"2025/09/25 7:47:07 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 7:53:35 PM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente",""
"2025/09/25 7:56:52 PM GMT-3","Esquerda","Neutro","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Neutro","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 8:20:30 PM GMT-3","Direita","Discordo Levemente","Concordo Levemente","Neutro","Discordo Levemente","Concordo Fortemente","Concordo Levemente","Discordo Levemente","Concordo Levemente",""
"2025/09/25 8:50:46 PM GMT-3","Nenhuma das anteriores","Neutro","Concordo Fortemente","Concordo Levemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente",""
"2025/09/25 9:11:32 PM GMT-3","Esquerda","Discordo Levemente","Concordo Fortemente","Discordo Fortemente","Neutro","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 9:21:36 PM GMT-3","Direita","Discordo Fortemente","Concordo Fortemente","Neutro","Neutro","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente","Neutro",""
"2025/09/25 10:00:10 PM GMT-3","Direita","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Neutro","Concordo Fortemente","Discordo Levemente","Concordo Levemente",""
"2025/09/25 10:06:54 PM GMT-3","Direita","Discordo Fortemente","Concordo Levemente","Discordo Levemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Neutro","Neutro",""
"2025/09/25 10:29:57 PM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 10:32:57 PM GMT-3","Centro","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 10:36:09 PM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 10:36:34 PM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Algumas questões são bem complexas pra leigos darem opinião . E as opções de respostas não são de acordo com as respostas que realmente cabem ao meu ver ."
"2025/09/25 11:32:46 PM GMT-3","Centro","Discordo Levemente","Discordo Levemente","Concordo Fortemente","Discordo Fortemente","Neutro","Neutro","Concordo Fortemente","Concordo Fortemente",""
"2025/09/25 11:47:40 PM GMT-3","Direita","Concordo Fortemente","Concordo Fortemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Discordo Levemente",""
"2025/09/26 12:20:57 AM GMT-3","Direita","Discordo Fortemente","Concordo Levemente","Concordo Levemente","Discordo Levemente","Concordo Levemente","Concordo Levemente","Concordo Fortemente","Discordo Levemente",""
"2025/09/26 7:18:37 AM GMT-3","Direita","Neutro","Concordo Fortemente","Neutro","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente",""
"2025/09/26 7:39:48 AM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Discordo Levemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente",""
"2025/09/26 8:33:33 AM GMT-3","Direita","Discordo Fortemente","Discordo Fortemente","Neutro","Neutro","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","Neutro",""
"2025/09/26 8:55:27 AM GMT-3","Direita","Neutro","Concordo Fortemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/26 8:56:24 AM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""